"","iso3c","date","value","indicatorID","indicator","iso2c","country"
"64","KNA","2008",95.7393310720202,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"65","KNA","2007",97.046322814295,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"66","KNA","2006",84.6590647845878,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"67","KNA","2005",87.4429881653865,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"68","KNA","2004",86.9923515871013,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"69","KNA","2003",89.1816737187195,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"70","KNA","2002",76.6784842677906,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","KN","St. Kitts and Nevis"
"71","LCA","2014",57.5776434686772,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"72","LCA","2013",56.9229597331723,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"73","LCA","2012",55.1277611326326,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"74","LCA","2011",49.5318232805065,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"75","LCA","2010",45.7221525523083,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"76","LCA","2009",43.3977023635892,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"77","LCA","2008",41.6345301264286,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"78","LCA","2007",45.2980532065982,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"79","LCA","2006",47.1957374440562,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"80","LCA","2005",52.0352250489237,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"81","LCA","2004",49.5833333333333,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"82","LCA","2003",48.5183795948987,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"83","LCA","2002",50.0329218106996,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"84","LCA","2001",40.0705394190871,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"85","LCA","2000",30.8776806989674,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","LC","St. Lucia"
"86","VCT","2014",68.7494592407486,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"87","VCT","2013",63.5539167856373,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"88","VCT","2012",61.2051824770701,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"89","VCT","2011",58.4684067815179,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"90","VCT","2010",59.8947431373722,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"91","VCT","2009",56.8312179829486,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"92","VCT","2008",45.8443468322957,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"93","VCT","2007",45.7249869846124,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"94","VCT","2006",54.0523795202106,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"95","VCT","2005",57.149874301212,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"96","VCT","2004",59.3259448726376,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"97","VCT","2003",55.4548969656624,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"98","VCT","2002",52.3300210498833,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"99","VCT","2001",48.9016464559096,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"100","VCT","2000",51.7428779003608,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"101","VCT","1999",51.9459985324308,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","VC","St. Vincent and the Grenadines"
"102","TTO","2007",15.928004235045,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","TT","Trinidad and Tobago"
"103","TTO","2006",16.803206848237,"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)","TT","Trinidad and Tobago"
"104","CSS","2018",7351483.61650485,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"105","CSS","2017",6870000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"106","CSS","2016",6642000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"107","CSS","2015",6451000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"108","CSS","2014",6240500,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
